,classifier,hyperparameters,errror
23,Random Forest,"{'n_estimators': 100, 'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 20}",3.381356853216075
24,Random Forest,"{'n_estimators': 100, 'criterion': 'poisson', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1}",6.895631412323957
25,Random Forest,"{'n_estimators': 100, 'criterion': 'poisson', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.1377092775096695
26,Random Forest,"{'n_estimators': 100, 'criterion': 'poisson', 'max_depth': None, 'min_samples_split': 60, 'min_samples_leaf': 1}",6.532796502266296
27,Random Forest,"{'n_estimators': 100, 'criterion': 'poisson', 'max_depth': None, 'min_samples_split': 60, 'min_samples_leaf': 20}",2.1333980657847946
28,Random Forest,"{'n_estimators': 100, 'criterion': 'poisson', 'max_depth': 200, 'min_samples_split': 2, 'min_samples_leaf': 1}",39.40355210294938
29,Random Forest,"{'n_estimators': 100, 'criterion': 'poisson', 'max_depth': 200, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.1390097188834014
30,Random Forest,"{'n_estimators': 100, 'criterion': 'poisson', 'max_depth': 200, 'min_samples_split': 60, 'min_samples_leaf': 1}",39.47133225924815
31,Random Forest,"{'n_estimators': 100, 'criterion': 'poisson', 'max_depth': 200, 'min_samples_split': 60, 'min_samples_leaf': 20}",2.1350946584299595
32,Random Forest,"{'n_estimators': 100, 'criterion': 'poisson', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}",80.78799266566438
33,Random Forest,"{'n_estimators': 100, 'criterion': 'poisson', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 20}",56.003632913638846
34,Random Forest,"{'n_estimators': 100, 'criterion': 'poisson', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 1}",80.8113174785015
35,Random Forest,"{'n_estimators': 100, 'criterion': 'poisson', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 20}",55.97295577778681
36,Random Forest,"{'n_estimators': 200, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1}",2.048686266125524
37,Random Forest,"{'n_estimators': 200, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.347131570339177
38,Random Forest,"{'n_estimators': 200, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 60, 'min_samples_leaf': 1}",2.7880169939092045
39,Random Forest,"{'n_estimators': 200, 'criterion': 'squared_error', 'max_depth': None, 'min_samples_split': 60, 'min_samples_leaf': 20}",2.717694426089229
40,Random Forest,"{'n_estimators': 200, 'criterion': 'squared_error', 'max_depth': 200, 'min_samples_split': 2, 'min_samples_leaf': 1}",2.0454881204030784
41,Random Forest,"{'n_estimators': 200, 'criterion': 'squared_error', 'max_depth': 200, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.324406556586545
42,Random Forest,"{'n_estimators': 200, 'criterion': 'squared_error', 'max_depth': 200, 'min_samples_split': 60, 'min_samples_leaf': 1}",2.6917150613099987
43,Random Forest,"{'n_estimators': 200, 'criterion': 'squared_error', 'max_depth': 200, 'min_samples_split': 60, 'min_samples_leaf': 20}",2.7277976853186052
44,Random Forest,"{'n_estimators': 200, 'criterion': 'squared_error', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}",2.03194334322312
45,Random Forest,"{'n_estimators': 200, 'criterion': 'squared_error', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.3904229293058616
46,Random Forest,"{'n_estimators': 200, 'criterion': 'squared_error', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 1}",2.762107247902865
47,Random Forest,"{'n_estimators': 200, 'criterion': 'squared_error', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 20}",2.7138365457400284
48,Random Forest,"{'n_estimators': 200, 'criterion': 'absolute_error', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1}",2.019460284235659
49,Random Forest,"{'n_estimators': 200, 'criterion': 'absolute_error', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.4936780383892216
50,Random Forest,"{'n_estimators': 200, 'criterion': 'absolute_error', 'max_depth': None, 'min_samples_split': 60, 'min_samples_leaf': 1}",3.3962005036933616
51,Random Forest,"{'n_estimators': 200, 'criterion': 'absolute_error', 'max_depth': None, 'min_samples_split': 60, 'min_samples_leaf': 20}",3.397913749550632
52,Random Forest,"{'n_estimators': 200, 'criterion': 'absolute_error', 'max_depth': 200, 'min_samples_split': 2, 'min_samples_leaf': 1}",2.0221153313668374
53,Random Forest,"{'n_estimators': 200, 'criterion': 'absolute_error', 'max_depth': 200, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.4362349876334295
54,Random Forest,"{'n_estimators': 200, 'criterion': 'absolute_error', 'max_depth': 200, 'min_samples_split': 60, 'min_samples_leaf': 1}",3.371155119358255
55,Random Forest,"{'n_estimators': 200, 'criterion': 'absolute_error', 'max_depth': 200, 'min_samples_split': 60, 'min_samples_leaf': 20}",3.3813026672352198
56,Random Forest,"{'n_estimators': 200, 'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}",2.0267476878692903
57,Random Forest,"{'n_estimators': 200, 'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.4873867185809435
58,Random Forest,"{'n_estimators': 200, 'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 1}",3.3648976500244485
59,Random Forest,"{'n_estimators': 200, 'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 20}",3.361495281896475
60,Random Forest,"{'n_estimators': 200, 'criterion': 'poisson', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1}",6.506498781849464
61,Random Forest,"{'n_estimators': 200, 'criterion': 'poisson', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.1460174207343967
62,Random Forest,"{'n_estimators': 200, 'criterion': 'poisson', 'max_depth': None, 'min_samples_split': 60, 'min_samples_leaf': 1}",6.662535801244893
63,Random Forest,"{'n_estimators': 200, 'criterion': 'poisson', 'max_depth': None, 'min_samples_split': 60, 'min_samples_leaf': 20}",2.1446727832496673
64,Random Forest,"{'n_estimators': 200, 'criterion': 'poisson', 'max_depth': 200, 'min_samples_split': 2, 'min_samples_leaf': 1}",39.431791066263045
65,Random Forest,"{'n_estimators': 200, 'criterion': 'poisson', 'max_depth': 200, 'min_samples_split': 2, 'min_samples_leaf': 20}",2.13865862725894
66,Random Forest,"{'n_estimators': 200, 'criterion': 'poisson', 'max_depth': 200, 'min_samples_split': 60, 'min_samples_leaf': 1}",39.558651998914655
67,Random Forest,"{'n_estimators': 200, 'criterion': 'poisson', 'max_depth': 200, 'min_samples_split': 60, 'min_samples_leaf': 20}",2.134409182063097
68,Random Forest,"{'n_estimators': 200, 'criterion': 'poisson', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}",80.74186423201024
69,Random Forest,"{'n_estimators': 200, 'criterion': 'poisson', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 20}",55.983847220742895
70,Random Forest,"{'n_estimators': 200, 'criterion': 'poisson', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 1}",80.83764824220273
71,Random Forest,"{'n_estimators': 200, 'criterion': 'poisson', 'max_depth': 10, 'min_samples_split': 60, 'min_samples_leaf': 20}",56.052544052609974
